Support Library class,Android X class
android.arch.core.executor.AppToolkitTaskExecutor,androidx.arch.core.executor.AppToolkitTaskExecutor
android.arch.core.executor.ArchTaskExecutor,androidx.arch.core.executor.ArchTaskExecutor
android.arch.core.executor.DefaultTaskExecutor,androidx.arch.core.executor.DefaultTaskExecutor
android.arch.core.executor.JunitTaskExecutorRule,androidx.arch.core.executor.JunitTaskExecutorRule
android.arch.core.executor.TaskExecutor,androidx.arch.core.executor.TaskExecutor
android.arch.core.executor.TaskExecutorWithFakeMainThread,androidx.arch.core.executor.TaskExecutorWithFakeMainThread
android.arch.core.executor.testing.CountingTaskExecutorRule,androidx.arch.core.executor.testing.CountingTaskExecutorRule
android.arch.core.executor.testing.InstantTaskExecutorRule,androidx.arch.core.executor.testing.InstantTaskExecutorRule
android.arch.core.internal.FastSafeIterableMap,androidx.arch.core.internal.FastSafeIterableMap
android.arch.core.internal.SafeIterableMap,androidx.arch.core.internal.SafeIterableMap
android.arch.core.util.Function,androidx.arch.core.util.Function
android.arch.lifecycle.AndroidViewModel,androidx.lifecycle.AndroidViewModel
android.arch.lifecycle.ClassesInfoCache,androidx.lifecycle.ClassesInfoCache
android.arch.lifecycle.CompositeGeneratedAdaptersObserver,androidx.lifecycle.CompositeGeneratedAdaptersObserver
android.arch.lifecycle.ComputableLiveData,androidx.lifecycle.ComputableLiveData
android.arch.lifecycle.DefaultLifecycleObserver,androidx.lifecycle.DefaultLifecycleObserver
android.arch.lifecycle.Elements_extKt,androidx.lifecycle.Elements_extKt
android.arch.lifecycle.EmptyActivityLifecycleCallbacks,androidx.lifecycle.EmptyActivityLifecycleCallbacks
android.arch.lifecycle.ErrorMessages,androidx.lifecycle.ErrorMessages
android.arch.lifecycle.FullLifecycleObserver,androidx.lifecycle.FullLifecycleObserver
android.arch.lifecycle.FullLifecycleObserverAdapter,androidx.lifecycle.FullLifecycleObserverAdapter
android.arch.lifecycle.GeneratedAdapter,androidx.lifecycle.GeneratedAdapter
android.arch.lifecycle.GenericLifecycleObserver,androidx.lifecycle.GenericLifecycleObserver
android.arch.lifecycle.HolderFragment,androidx.lifecycle.HolderFragment
android.arch.lifecycle.Input_collectorKt,androidx.lifecycle.Input_collectorKt
android.arch.lifecycle.Lifecycle,androidx.lifecycle.Lifecycle
android.arch.lifecycle.LifecycleDispatcher,androidx.lifecycle.LifecycleDispatcher
android.arch.lifecycle.LifecycleObserver,androidx.lifecycle.LifecycleObserver
