Support Library class,Android X class
android.databinding.adapters.AbsListViewBindingAdapter,androidx.databinding.adapters.AbsListViewBindingAdapter
android.databinding.adapters.AbsSeekBarBindingAdapter,androidx.databinding.adapters.AbsSeekBarBindingAdapter
android.databinding.adapters.AbsSpinnerBindingAdapter,androidx.databinding.adapters.AbsSpinnerBindingAdapter
android.databinding.adapters.ActionMenuViewBindingAdapter,androidx.databinding.adapters.ActionMenuViewBindingAdapter
android.databinding.adapters.AdapterViewBindingAdapter,androidx.databinding.adapters.AdapterViewBindingAdapter
android.databinding.adapters.AutoCompleteTextViewBindingAdapter,androidx.databinding.adapters.AutoCompleteTextViewBindingAdapter
android.databinding.adapters.CalendarViewBindingAdapter,androidx.databinding.adapters.CalendarViewBindingAdapter
android.databinding.adapters.CardViewBindingAdapter,androidx.databinding.adapters.CardViewBindingAdapter
android.databinding.adapters.CheckedTextViewBindingAdapter,androidx.databinding.adapters.CheckedTextViewBindingAdapter
android.databinding.adapters.ChronometerBindingAdapter,androidx.databinding.adapters.ChronometerBindingAdapter
android.databinding.adapters.CompoundButtonBindingAdapter,androidx.databinding.adapters.CompoundButtonBindingAdapter
android.databinding.adapters.Converters,androidx.databinding.adapters.Converters
android.databinding.adapters.DatePickerBindingAdapter,androidx.databinding.adapters.DatePickerBindingAdapter
android.databinding.adapters.ExpandableListViewBindingAdapter,androidx.databinding.adapters.ExpandableListViewBindingAdapter
android.databinding.adapters.FrameLayoutBindingAdapter,androidx.databinding.adapters.FrameLayoutBindingAdapter
android.databinding.adapters.ImageViewBindingAdapter,androidx.databinding.adapters.ImageViewBindingAdapter
android.databinding.adapters.LinearLayoutBindingAdapter,androidx.databinding.adapters.LinearLayoutBindingAdapter
android.databinding.adapters.ListenerUtil,androidx.databinding.adapters.ListenerUtil
android.databinding.adapters.NumberPickerBindingAdapter,androidx.databinding.adapters.NumberPickerBindingAdapter
android.databinding.adapters.ObservableListAdapter,androidx.databinding.adapters.ObservableListAdapter
android.databinding.adapters.ProgressBarBindingAdapter,androidx.databinding.adapters.ProgressBarBindingAdapter
android.databinding.adapters.RadioGroupBindingAdapter,androidx.databinding.adapters.RadioGroupBindingAdapter
android.databinding.adapters.RatingBarBindingAdapter,androidx.databinding.adapters.RatingBarBindingAdapter
android.databinding.adapters.SearchViewBindingAdapter,androidx.databinding.adapters.SearchViewBindingAdapter
android.databinding.adapters.SeekBarBindingAdapter,androidx.databinding.adapters.SeekBarBindingAdapter
android.databinding.adapters.SpinnerBindingAdapter,androidx.databinding.adapters.SpinnerBindingAdapter
android.databinding.adapters.SwitchBindingAdapter,androidx.databinding.adapters.SwitchBindingAdapter
android.databinding.adapters.SwitchCompatBindingAdapter,androidx.databinding.adapters.SwitchCompatBindingAdapter
android.databinding.adapters.TabHostBindingAdapter,androidx.databinding.adapters.TabHostBindingAdapter
android.databinding.adapters.TableLayoutBindingAdapter,androidx.databinding.adapters.TableLayoutBindingAdapter
android.databinding.adapters.TabWidgetBindingAdapter,androidx.databinding.adapters.TabWidgetBindingAdapter
android.databinding.adapters.TextViewBindingAdapter,androidx.databinding.adapters.TextViewBindingAdapter
android.databinding.adapters.TimePickerBindingAdapter,androidx.databinding.adapters.TimePickerBindingAdapter
android.databinding.adapters.ToolbarBindingAdapter,androidx.databinding.adapters.ToolbarBindingAdapter
